	Indel UMIs	Non-indel UMIs	Total	Fraction_indel	Fraction_non_indel
GFP-1-B_S3	190928	776981	967909	0.19725821332377322	0.8027417866762268
GFP-1_S2	5736	1057214	1062950	0.005396302742367938	0.9946036972576321
GFP-EMPTY_S1	25	1027488	1027513	2.433059241099626e-05	0.999975669407589
SPIKE-EVO-1-B_S12	126573	197589	324162	0.3904621763192478	0.6095378236807523
SPIKE-RT-EMPTY_S9	1	384600	384601	2.600097243636912e-06	0.9999973999027564
SPIKE-EVO-EMPTY_S11	0	425631	425631	0.0	1.0
SPIKE-RT-1-B_S10	0	394913	394913	0.0	1.0
